accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20
2017-01-04,11:55:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,,,зіткнення бокове,,3,легко травмований,без ушкоджень,легко травмований,,,,,,,49.837124,24.061153,,,,,,,,,,,
2017-01-01,18:33:00,неділя,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",101,,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",6,легко травмований,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,,,,49.865504,24.016709,,,,,,,,,,,
2017-01-05,10:08:00,четвер,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",93,,наїзд на пішохода - пішохід рухався у попутному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.86253,24.018329,,,,,,,,,,,
2017-01-09,15:01:00,понеділок,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",8,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"перевищення безпечної швидкості, порушення правил проїзду пішохідних переходів",2,без ушкоджень,тяжко травмований,,,,,,,,49.831817,24.017068,,,,,,,,,,,
2017-01-02,12:37:00,понеділок,місто,Львів,Сихівський,вулиця,Зелена,212Б,,зіткнення бокове,"невиконання вимог сигналів регулювання, порушення правил маневрування",2,без ушкоджень,легко травмований,,,,,,,,49.808112,24.061389,,,,,,,,,,,
2017-01-13,10:18:00,п'ятниця,місто,Львів,Галицький,вулиця,Дорошенка П.,,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.836848,24.021392,,,,,,,,,,,
2017-01-13,18:55:00,п'ятниця,місто,Львів,Галицький,вулиця,Під Дубом,7,,наїзд на пішохода - пішохід рухався у зустрічному напрямку,,2,легко травмований,легко травмований,,,,,,,,49.850498,24.02247,,,,,,,,,,,
2017-01-13,12:50:00,п'ятниця,місто,Львів,Галицький,площа,"Кропивницького М., пл.",,,наїзд на пішохода - на регульованому пішохідному переході,,2,без ушкоджень,тяжко травмований,,,,,,,,49.837034,24.004869,,,,,,,,,,,
2017-01-13,22:08:00,п'ятниця,місто,Львів,Галицький,вулиця,Стрийська,1,,зіткнення бокове,порушення правил маневрування,3,легко травмований,без ушкоджень,легко травмований,,,,,,,49.829211,24.032217,,,,,,,,,,,
2017-01-05,15:43:00,четвер,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,,наїзд на пішохода - пішохід рухався у попутному напрямку,,2,без ушкоджень,легко травмований,,,,,,,,49.799626,24.026579,,,,,,,,,,,
2017-01-01,17:56:00,неділя,місто,Львів,Шевченківський,вулиця,Золота,,,наїзд на інші види перешкод,перевищення безпечної швидкості,2,тяжко травмований,тяжко травмований,,,,,,,,49.847752,24.009225,,,,,,,,,,,
2017-01-08,6:30:00,неділя,місто,Львів,Сихівський,вулиця,Зелена,322,,наїзд на інші види перешкод,,3,тяжко травмований,тяжко травмований,тяжко травмований,,,,,,,49.796703,24.072697,,,,,,,,,,,
2017-01-08,20:01:00,неділя,місто,Львів,Сихівський,вулиця,Пасічна,129,,зіткнення лобове,виїзд на смугу зустрічного руху,3,без ушкоджень,легко травмований,без ушкоджень,,,,,,,49.80628,24.06796,,,,,,,,,,,
