accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,latitude,longitude
2017-01-04,11:55:00,середа,місто,Львів,Личаківський,вулиця,Личаківська,null,null,зіткнення бокове,null,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,null,49.837124,24.061153
2017-01-01,18:33:00,неділя,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",101,null,зіткнення з задньою частиною ТЗ,"перевищення безпечної швидкості, недодержання дистанції",6,легко травмований,без ушкоджень,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,49.865504,24.016709
2017-01-05,10:08:00,четвер,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",93,null,наїзд на пішохода - пішохід рухався у попутному напрямку,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.86253,24.018329
2017-01-09,15:01:00,понеділок,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",8,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,"перевищення безпечної швидкості, порушення правил проїзду пішохідних переходів",2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.831817,24.017068
2017-01-02,12:37:00,понеділок,місто,Львів,Сихівський,вулиця,Зелена,212Б,null,зіткнення бокове,"невиконання вимог сигналів регулювання, порушення правил маневрування",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.808112,24.061389
2017-01-13,10:18:00,п'ятниця,місто,Львів,Галицький,вулиця,Дорошенка П.,null,null,наїзд на пішохода - на регульованому пішохідному переході,null,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.836848,24.021392
2017-01-13,18:55:00,п'ятниця,місто,Львів,Галицький,вулиця,Під Дубом,7,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,null,2,легко травмований,легко травмований,null,null,null,null,null,null,null,49.850498,24.02247
2017-01-13,12:50:00,п'ятниця,місто,Львів,Галицький,площа,"Кропивницького М., пл.",null,null,наїзд на пішохода - на регульованому пішохідному переході,null,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,49.837034,24.004869
2017-01-13,22:08:00,п'ятниця,місто,Львів,Галицький,вулиця,Стрийська,1,null,зіткнення бокове,порушення правил маневрування,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,null,49.829211,24.032217
2017-01-05,15:43:00,четвер,місто,Львів,Сихівський,вулиця,Хуторівка,4Б,null,наїзд на пішохода - пішохід рухався у попутному напрямку,null,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.799626,24.026579
