accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,latitude,longitude
2018-01-14,2:20:00,неділя,місто,Львів,Галицький,проспект,"Чорновола В., просп.",2,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.848904,24.025651
2018-01-03,19:10:00,середа,місто,Львів,Франківський,вулиця,Київська,null,"перехрестя вул. Київська - вул. Чупринки Т., ген.",наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.832343,24.012047
2018-01-01,4:58:00,понеділок,місто,Львів,Залізничний,вулиця,Виговського І.,51,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,пішоходи невиконання вимог сигналів регулювання,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.815523,23.973606
2018-01-10,18:05:00,середа,місто,Львів,Сихівський,вулиця,Пимоненка М.,19,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,49.809209,24.07775
2018-01-12,12:35:00,п'ятниця,місто,Львів,Галицький,вулиця,Університетська,1,null,падіння пасажира,"перевищення безпечної швидкості , порушення правил перевезення пасажирів",2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.839989,24.022003
2018-01-02,18:05:00,вівторок,місто,Львів,Залізничний,вулиця,Городоцька,113,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.838311,24.007326
2018-01-02,17:15:00,вівторок,місто,Львів,Личаківський,вулиця,Личаківська,65,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.839986,24.049244
2018-01-02,15:17:00,вівторок,місто,Львів,Шевченківський,вулиця,Варшавська,1,null,зіткнення бокове,порушення правил маневрування,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,49.855043,24.014418
2018-01-10,18:05:00,середа,місто,Львів,Шевченківський,вулиця,Промислова,52,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.861137,24.043767
2018-01-16,13:01:00,вівторок,місто,Львів,Галицький,вулиця,Винниченка В.,null,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.842355,24.036192
2018-01-07,12:50:00,неділя,місто,Львів,Франківський,вулиця,"Чупринки Т., ген.",38,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.832242,24.011827
2018-01-07,23:30:00,неділя,місто,Львів,Шевченківський,вулиця,Шевченка Т.,171,null,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,49.859961,23.970559
2018-01-07,18:45:00,неділя,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.868111,23.952282
2018-01-06,10:07:00,субота,місто,Львів,Личаківський,вулиця,Лисеницька,13,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,помер по дорозі в лікарню,null,null,null,null,null,null,49.816413,24.082997
2018-01-16,12:38:00,вівторок,місто,Львів,Шевченківський,вулиця,Базарна,11,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.84632,24.018688
2018-01-11,21:40:00,четвер,місто,Львів,Галицький,вулиця,Торгова,null,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.84467,24.026687
2018-01-11,8:01:00,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",50,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.796807,24.052334
2018-01-17,2:40:00,середа,місто,Львів,Галицький,проспект,"Свободи, просп.",null,"перехрестя Свободи, просп., - вул. Торгова",зіткнення бокове,перевищення безпечної швидкості,4,без ушкоджень,легко травмований,легко травмований,без ушкоджень,null,null,null,null,49.844611,24.026316
2018-01-04,18:01:00,четвер,місто,Львів,Личаківський,вулиця,Вашингтона Дж.,null,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,49.815108,24.073126
2018-01-12,20:08:00,п'ятниця,місто,Львів,Залізничний,вулиця,Любінська,38,null,наїзд на пішохода - пішохід рухався у зустрічному напрямку,перевищення безпечної швидкості,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,49.824501,23.978058
