accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,injuryStatusParticipant12,injuryStatusParticipant13,injuryStatusParticipant14,injuryStatusParticipant15,injuryStatusParticipant16,injuryStatusParticipant17,injuryStatusParticipant18,injuryStatusParticipant19,injuryStatusParticipant20,latitude,longitude
2019-01-16,10:20:00,середа,місто,Львів,Франківський,вулиця,Кульпарківська,52,null,зіткнення бокове,перевищення безпечної швидкості,3,без ушкоджень,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829059,23.990197
2019-01-22,14:04:00,вівторок,місто,Львів,Личаківський,вулиця,Мечникова І.,11,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.837498,24.054598
2019-01-22,20:50:00,вівторок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",45,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.852639,24.023564
2019-02-01,12:56:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Шевченка Т.,418,null,зіткнення з задньою частиною тз,порушення правил проїзду перехресть,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.871503,23.941998
2019-01-10,10:37:00,четвер,місто,Львів,Личаківський,вулиця,Зелена,135,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.817333,24.060273
2019-02-12,23:19:00,вівторок,місто,Львів,Франківський,вулиця,"Чупринки Т., ген.",42,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,помер у лікарні протягом 30 діб,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.83208,24.011495
2019-01-18,15:50:00,п'ятниця,місто,Львів,Залізничний,вулиця,Городоцька,142,null,зіткнення лобове,"перевищення безпечної швидкості, недодержання дистанції",2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.833599,23.983068
2019-01-08,9:01:00,вівторок,місто,Львів,Галицький,вулиця,Франка І.,null,Стрийський ринок,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.829872,24.031262
2019-01-27,13:01:00,неділя,місто,Львів,Личаківський,вулиця,Хмельницького Б.,267,null,зіткнення бокове,"керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості",3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.871188,24.05831
2019-01-09,23:50:00,середа,місто,Львів,Залізничний,вулиця,Виговського І.,100,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.813059,23.978205
2019-01-01,17:47:00,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",79,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.795405,24.056132
2019-01-22,16:45:00,вівторок,місто,Львів,Галицький,вулиця,Саксаганського П.,12,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.834491,24.032882
2019-01-24,19:49:00,четвер,місто,Львів,Шевченківський,вулиця,Шевченка Т.,358,null,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.86818,23.951982
2019-02-02,13:01:00,субота,місто,Львів,Франківський,вулиця,Городоцька,209,null,зіткнення з задньою частиною тз,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.833343,23.983541
2019-01-04,20:11:00,п'ятниця,місто,Львів,Сихівський,вулиця,Морозна,21,null,зіткнення лобове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.795741,24.067789
2019-01-03,14:01:00,четвер,місто,Львів,Залізничний,вулиця,Городоцька,282А,null,зіткнення лобове,"перевищення безпечної швидкості, порушення правил обгону",3,легко травмований,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.824145,23.927842
2019-02-05,16:01:00,вівторок,місто,Львів,Франківський,вулиця,Володимира Великого,35,null,зіткнення лобове,"перевищення безпечної швидкості, недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.80994,24.006886
2019-01-15,9:55:00,вівторок,місто,Львів,Сихівський,вулиця,Антонича Б. - І.,24,null,зіткнення лобове,"перевищення безпечної швидкості, невиконання вимог сигналів регулювання",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.783294,24.068127
2019-01-01,12:05:00,вівторок,місто,Львів,Залізничний,вулиця,Городоцька,231,null,наїзд на інші види перешкод,перевищення безпечної швидкості,5,легко травмований,легко травмований,легко травмований,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.83199,23.975966
2019-01-16,15:43:00,середа,місто,Львів,Сихівський,вулиця,Стрийська,51,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.800498,24.017782
2019-01-18,14:55:00,п'ятниця,місто,Львів,Галицький,вулиця,Франка І.,69,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.8304,24.032347
2019-01-03,17:30:00,четвер,місто,Львів,Сихівський,вулиця,Хоткевича Г.,24,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.79519,24.046739
2019-01-19,21:20:00,субота,місто,Львів,Личаківський,вулиця,Личаківська,109,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.838432,24.055043
2019-01-28,11:54:00,понеділок,місто,Львів,Сихівський,вулиця,Морозна,null,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.795338,24.068371
2019-01-05,13:49:00,субота,місто,Львів,Галицький,вулиця,Городоцька,85,null,зіткнення лобове,"порушення правил маневрування, недодержання дистанції, перевищення безпечної швидкості",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.839615,24.010625
2019-01-29,17:01:00,вівторок,місто,Львів,Галицький,вулиця,Городоцька,null,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.842397,24.017358
2019-01-26,0:54:00,субота,місто,Львів,Залізничний,вулиця,Городоцька,null,Скнилівський міст,зіткнення лобове,порушення правил маневрування,3,без ушкоджень,тяжко травмований,тяжко травмований,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.825105,23.937796
2019-01-02,0:42:00,середа,місто,Львів,Франківський,вулиця,"Чупринки Т., ген.",null,"Перехрестя вул. Чупринки Т., ген. - вул.  Горбачевського І.",зіткнення лобове,порушення правил маневрування,2,легко травмований,без ушкоджень,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49.830156,24.007734
