accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,latitude,longitude
2021-02-07,12:15:00,неділя,місто,Львів,Галицький,вулиця,Франка І.,24,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.834799,24.034374
2021-02-11,14:01:00,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.810781,23.995535
2021-02-17,22:29:00,середа,місто,Львів,Залізничний,вулиця,Яворницького Д.,null,null,зіткнення бокове,порушення правил проїзду перехресть,3,легко травмований,без ушкоджень,легко травмований,null,null,null,null,49.824058,23.977318
2021-01-30,21:45:00,субота,місто,Львів,Галицький,вулиця,Городоцька,83,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"перевищення безпечної швидкості,недодержання дистанції",2,без ушкоджень,легко травмований,null,null,null,null,null,49.839792,24.01444
2021-02-10,13:30:00,середа,місто,Львів,Сихівський,вулиця,Вернадського В.,26,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,49.78161,24.05574
2021-02-14,22:50:00,неділя,місто,Львів,Франківський,вулиця,Горбачевського І.,17,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,49.828782,24.009612
2021-02-17,19:41:00,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,32,null,наїзд на пішохода,порушення правил проїзду пішохідних переходів,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.825384,24.008598
2021-02-01,21:45:00,понеділок,місто,Львів,Галицький,вулиця,Хотинська,null,вул. Городоцька - вул. Хотинська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.837477,24.00502
2021-01-27,17:37:00,середа,місто,Львів,Личаківський,вулиця,Богданівська,11,null,зіткнення бокове,порушення правил маневрування,2,помер у лікарні протягом 30 діб,без ушкоджень,null,null,null,null,null,49.857187,24.073947
2021-02-07,13:44:00,неділя,місто,Львів,Залізничний,вулиця,Городоцька,321,null,зіткнення бокове,порушення правил проїзду перехресть,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,49.826439,23.947111
2021-02-15,8:40:00,понеділок,місто,Львів,Залізничний,вулиця,Суботівська,null,вул. Суботівська - вул. Широка,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.841747,23.967576
2021-02-21,7:54:00,неділя,місто,Львів,Личаківський,вулиця,Хмельницького Б.,214,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,49.869553,24.057001
2021-02-01,17:30:00,понеділок,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",43,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,49.85403,24.022642
2021-02-17,19:46:00,середа,місто,Львів,Сихівський,вулиця,Стрийська,75,null,зіткнення бокове,"перевищення безпечної швидкості,недодержання дистанції",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.791163,24.015722
2021-02-16,20:50:00,вівторок,місто,Львів,Личаківський,вулиця,Зелена,109,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.822221,24.054565
2021-01-30,7:05:00,субота,місто,Львів,Шевченківський,вулиця,Промислова,null,вул. Промислова - вул. Липинського В.,зіткнення бокове,"порушення правил маневрування,порушення правил проїзду перехресть",3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,49.865224,24.04433
