accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2022-01-07,22:05:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Винниця,2б,null,зіткнення бокове,порушення правил маневрування,5,без ушкоджень,без ушкоджень,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,49.861673,24.000739
2022-01-03,17:08:00,понеділок,місто,Львів,Личаківський,вулиця,Богданівська,11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.857288,24.07215
2022-01-04,18:10:00,вівторок,місто,Львів,Франківський,вулиця,Кондукторська,null,вул. Городоцька - вул. Кондукторська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.83264,23.979807
2022-01-16,3:01:00,неділя,місто,Львів,Личаківський,вулиця,Личаківська,232,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.831844,24.091934
2022-01-12,10:31:00,середа,місто,Львів,Шевченківський,вулиця,Панча П.,26,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.862146,24.008222
2022-01-16,15:01:00,неділя,місто,Львів,Залізничний,площа,"Двірцева, пл.",1,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839733,23.994505
2022-01-12,17:15:00,середа,село,Рясне-Руське,Залізничний,null,null,null,null,зіткнення бокове,виїзд на смугу зустрічного руху,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.8773634,23.8896281
2022-01-09,17:15:00,неділя,місто,Львів,Галицький,вулиця,Козельницька,2,null,наїзд на інші види перешкод,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.817898,24.02445
2022-01-01,19:41:00,субота,місто,Львів,Сихівський,вулиця,Дністерcька,4,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.818303,24.05684
2022-01-03,21:01:00,понеділок,місто,Львів,Шевченківський,вулиця,Опришківська,null,вул. Опришківська - вул. Хмельницького Б.,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.85366,24.041101
2022-01-17,7:34:00,понеділок,місто,Львів,Галицький,вулиця,Шептицьких,null,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш.переходу,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836695,24.006194
2022-01-19,16:23:00,середа,місто,Львів,Личаківський,вулиця,Руставелі Ш.,4,null,падіння пасажира,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833893,24.035391
2022-01-19,19:05:00,середа,місто,Львів,Галицький,вулиця,Листопадового Чину,14,null,"наїзд на транспортний засіб, що стоїть - по ходу руху",недодержання дистанції,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.840145,24.020013
2022-01-14,14:05:00,п'ятниця,місто,Львів,Франківський,вулиця,Володимира Великого,null,вул. Володимира Великого - вул. Янева В.,зіткнення бокове,порушення правил проїзду перехресть,4,легко травмований,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,49.808968,24.011826
2022-01-07,21:20:00,п'ятниця,місто,Львів,Франківський,вулиця,Княгині Ольги,5а,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.822376,24.007627
2022-01-01,7:47:00,субота,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",93,null,зіткнення бокове,"перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.862613,24.018323
2022-01-05,17:30:00,середа,місто,Львів,Шевченківський,вулиця,Городницька,null,вул. Городницька - вул. Липинського В.,зіткнення бокове,порушення правил маневрування,4,без ушкоджень,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,49.865314,24.045575
2022-01-04,17:20:00,вівторок,місто,Львів,Шевченківський,вулиця,Лушпинського О.,null,вул. Лушпинського О. - вул. Шевченка Т.,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.86661080,23.95627502
2022-01-17,19:30:00,понеділок,місто,Львів,Франківський,вулиця,Трускавецька,2б,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.798191,24.010373
2022-01-15,18:38:00,субота,місто,Львів,Залізничний,вулиця,Левандівська,null,вул. Левандівська - вул. Шевченка Т.,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.849288,23.995814
2022-01-15,7:15:00,субота,місто,Львів,Франківський,вулиця,Симоненка В.,null,вул. Симоненка В. - вул. Наукова,наїзд на пішохода - пішохід рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.805173,23.986652
2022-01-14,7:20:00,п'ятниця,місто,Львів,Шевченківський,вулиця,Липинського В.,54б,null,наїзд на пішохода - стояв на проїздній частині,"порушення правил проїзду пішохідних переходів, порушення правил проїзду перехресть",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.865259,24.04497
2022-01-11,22:01:00,вівторок,місто,Львів,Личаківський,вулиця,Личаківська,150,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.835803,24.069677
