accidentDate;accidentTime;accidentDay;settlementType;settlement;district;streetType;streetName;houseNumber;locationComments;accidentType;mainAccidentCause;totalParticipantsAmount;injuryStatusParticipant1;injuryStatusParticipant2;injuryStatusParticipant3;injuryStatusParticipant4;injuryStatusParticipant5;injuryStatusParticipant6;latitude;longitude
2023-01-09;20:10:00;понеділок;місто;Львів;Франківський;вулиця;Кобилиці Л.;19;null;наїзд на інші види перешкод;порушення правил маневрування;1;легко травмований;null;null;null;null;null;49.816849;23.998309
2023-01-31;11:03:00;вівторок;місто;Львів;Галицький;вулиця;Політехнічна;7;null;наїзд на пішохода - пішохід рухався у попутному напрямку;перехід у невстановленому місці, неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.834052;24.014472
2023-01-13;23:26:00;п'ятниця;місто;Львів;Франківський;вулиця;Стрийська;280а;null;наїзд на дорожний знак, бордюрний камінь;порушення правил маневрування;1;легко травмований;null;null;null;null;null;49.789604;24.015126
2023-01-20;21:12:00;п'ятниця;місто;Львів;Личаківський;вулиця;Глинянський Тракт;8;null;зіткнення бокове;порушення правил маневрування;2;без ушкоджень;легко травмований;null;null;null;null;49.83656;24.07163
2023-01-15;18:52:00;неділя;місто;Львів;Залізничний;вулиця;Кульпарківська;null;вул. Кульпарківська - вул. Перфецького Л.;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;2;без ушкоджень;легко травмований;null;null;null;null;49.815014;23.985659
2023-01-20;12:10:00;п'ятниця;місто;Львів;Франківський;вулиця;Героїв УПА;63;null;наїзд на транспортний засіб, що стоїть - по ходу руху;перевищення безпечної швидкості, недодержання дистанції, керування транспортним засобом у нетверезому стані;3;без ушкоджень;без ушкоджень;легко травмований;null;null;null;49.831042;23.996678
2023-01-15;21:53:00;неділя;місто;Львів;Франківський;вулиця;Наукова;35;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил проїзду пішохідних переходів;2;без ушкоджень;легко травмований;null;null;null;null;49.80449;23.991668
2023-02-10;23:08:00;п'ятниця;місто;Львів;Шевченківський;проспект;Чорновола В., просп.;66;null;наїзд на пішохода - на нерегульованому пішохідному переході;неочікуваний вихід на проїзну частину;3;без ушкоджень;тяжко травмований;тяжко травмований;null;null;null;49.860874;24.019504
2023-01-26;20:45:00;четвер;місто;Львів;Сихівський;проспект;Червоної Калини, просп.;81;null;наїзд на пішохода - пішохід рухався у попутному напрямку;порушення правил маневрування;2;без ушкоджень;тяжко травмований;null;null;null;null;49.79484;24.057124
2023-01-11;18:14:00;середа;село;Зашків;Шевченківський;вулиця;Коновальця Є.;88;null;наїзд на пішохода - пішохід рухався у попутному напрямку;перевищення безпечної швидкості, недодержання дистанції;2;без ушкоджень;легко травмований;null;null;null;null;49.954658;23.99399
